variables,type,units,values,description
floatingse.G_mat,input,Pa,"[[1323000000.0, 1323000000.0, 1323000000.0], [2630000000.0, 2630000000.0, 2630000000.0], [7200000000.0, 7200000000.0, 7200000000.0], [11800000000.0, 11800000000.0, 11800000000.0], [79300000000.0, 79300000000.0, 79300000000.0], [80000000000.0, 80000000000.0, 80000000000.0], [47600000000.0, 47600000000.0, 47600000000.0], [98460000.0, 98460000.0, 98460000.0], [5990000000.0, 5990000000.0, 5990000000.0], [384615.3846153846, 384615.3846153846, 384615.3846153846], [1.0, 1.0, 1.0], [1520000.0, 1520000.0, 1520000.0]]",
floatingse.sigma_y_mat,input,Pa,"[0.0, 0.0, 0.0, 0.0, 345000000.0, 485000000.0, 265000000.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
floatingse.sigma_ult_mat,input,Pa,"[[74000000.0, 74000000.0, 74000000.0], [1060000000.0, 66300000.0, 26600000.0], [54500000.0, 54500000.0, 26600000.0], [54470000.0, 54470000.0, 26600000.0], [450000000.0, 450000000.0, 450000000.0], [814000000.0, 814000000.0, 814000000.0], [310000000.0, 310000000.0, 310000000.0], [6040000.0, 6040000.0, 6040000.0], [2236000000.0, 0.0, 0.0], [61510000.0, 61510000.0, 61510000.0], [0.0, 0.0, 0.0], [690000.0, 690000.0, 690000.0]]",
floatingse.wohler_exp_mat,input,,"[1.0, 10.0, 10.0, 10.0, 3.0, 3.0, 3.0, 1.0, 16.1, 1.0, 1.0, 1.0]",
floatingse.wohler_A_mat,input,,"[87000000.0, 1060000000.0, 197000000.0, 197000000.0, 35534648443.719765, 35534648443.719765, 310000000.0, 6040000.0, 2236000000.0, 65360000.0, 0.0, 690000.0]",
floatingse.rho_mat,input,kg/m**3,"[1235.0, 1920.0, 1850.0, 1780.0, 7800.0, 7850.0, 7200.0, 200.0, 1220.0, 1150.0, 5000.0, 1100.0]",
floatingse.unit_cost_mat,input,USD/kg,"[7.23, 1.87, 2.86, 3.0, 0.7, 0.9, 0.5, 13.0, 30.0, 3.63, 1.0, 9.0]",
floatingse.member0.outfitting_factor_in,input,,1.0,
floatingse.member0.layer_materials,input,n/a,steel,
floatingse.member0.ballast_materials,input,n/a,"['slurry', 'seawater']",
floatingse.material_names,input,n/a,"['Gelcoat', 'glassUD', 'glassTri', 'glassDB', 'steel', 'steel_drive', 'cast_iron', 'FOAM', 'CarbonUD', 'resin', 'slurry', 'adhesive']",
floatingse.labor_cost_rate,input,USD/min,0.98,
floatingse.painting_cost_rate,input,USD/m**2,30.0,
floatingse.member0.grid_axial_joints,input,,0.38462,
floatingse.member0.bulkhead_grid,input,,"[0.0, 0.1, 0.5, 0.8308, 1.0]",
floatingse.member0.bulkhead_thickness,input,m,"[0.1, 0.05, 0.05, 0.05, 0.05]",
floatingse.member0.ring_stiffener_web_height,input,m,0.0,
floatingse.member0.ring_stiffener_web_thickness,input,m,0.0,
floatingse.member0.ring_stiffener_flange_width,input,m,0.0,
floatingse.member0.ring_stiffener_flange_thickness,input,m,0.0,
floatingse.member0.ring_stiffener_spacing,input,,0.0,
floatingse.member0.axial_stiffener_web_height,input,m,0.0,
floatingse.member0.axial_stiffener_web_thickness,input,m,0.0,
floatingse.member0.axial_stiffener_flange_width,input,m,0.0,
floatingse.member0.axial_stiffener_flange_thickness,input,m,0.0,
floatingse.member0.axial_stiffener_spacing,input,rad,0.0,
floatingse.member0.ballast_grid,input,,"[[0.0, 0.4], [0.4, 1.0]]",
floatingse.member0.ballast_volume,input,m**3,"[900.0, 0.0]",
floatingse.member0:mass_user,input,kg,0.0,
floatingse.member1.s_in,input,,"[0.0, 1.0]",
floatingse.member1.s_const1,input,,0.0,
floatingse.member1.s_const2,input,,0.0,
floatingse.member1.E_user,input,Pa,0.0,
floatingse.member1.outfitting_factor_in,input,,1.0,
floatingse.member1.layer_materials,input,n/a,steel,
floatingse.member1.ballast_materials,input,n/a,[],
floatingse.member1.grid_axial_joints,input,,[],
floatingse.member1.bulkhead_grid,input,,"[0.0, 1.0]",
floatingse.member1.bulkhead_thickness,input,m,"[0.02, 0.02]",
floatingse.member1.ring_stiffener_web_height,input,m,0.0,
floatingse.member1.ring_stiffener_web_thickness,input,m,0.0,
floatingse.member1.ring_stiffener_flange_width,input,m,0.0,
floatingse.member1.ring_stiffener_flange_thickness,input,m,0.0,
floatingse.member1.ring_stiffener_spacing,input,,0.0,
floatingse.member1.axial_stiffener_web_height,input,m,0.0,
floatingse.member1.axial_stiffener_web_thickness,input,m,0.0,
floatingse.member1.axial_stiffener_flange_width,input,m,0.0,
floatingse.member1.axial_stiffener_flange_thickness,input,m,0.0,
floatingse.member1.axial_stiffener_spacing,input,rad,0.0,
floatingse.member1.ballast_grid,input,,[],
floatingse.member1.ballast_volume,input,m**3,[],
floatingse.member1:mass_user,input,kg,0.0,
floatingse.member2.s_in,input,,"[0.0, 1.0]",
floatingse.member2.s_const1,input,,0.0,
floatingse.member2.s_const2,input,,0.0,
floatingse.member2.E_user,input,Pa,0.0,
floatingse.member2.outfitting_factor_in,input,,1.0,
floatingse.member2.layer_materials,input,n/a,steel,
floatingse.member2.ballast_materials,input,n/a,[],
floatingse.member2.grid_axial_joints,input,,[],
floatingse.member2.bulkhead_grid,input,,"[0.0, 1.0]",
floatingse.member2.bulkhead_thickness,input,m,"[0.02, 0.02]",
floatingse.member2.ring_stiffener_web_height,input,m,0.0,
floatingse.member2.ring_stiffener_web_thickness,input,m,0.0,
floatingse.member2.ring_stiffener_flange_width,input,m,0.0,
floatingse.member2.ring_stiffener_flange_thickness,input,m,0.0,
floatingse.member2.ring_stiffener_spacing,input,,0.0,
floatingse.member2.axial_stiffener_web_height,input,m,0.0,
floatingse.member2.axial_stiffener_web_thickness,input,m,0.0,
floatingse.member2.axial_stiffener_flange_width,input,m,0.0,
floatingse.member2.axial_stiffener_flange_thickness,input,m,0.0,
floatingse.member2.axial_stiffener_spacing,input,rad,0.0,
floatingse.member2.ballast_grid,input,,[],
floatingse.member2.ballast_volume,input,m**3,[],
floatingse.member2:mass_user,input,kg,0.0,
floatingse.member3.s_in,input,,"[0.0, 1.0]",
floatingse.member3.s_const1,input,,0.0,
floatingse.member3.s_const2,input,,0.0,
floatingse.member3.E_user,input,Pa,0.0,
floatingse.member3.outfitting_factor_in,input,,1.0,
floatingse.member3.layer_materials,input,n/a,steel,
floatingse.member3.ballast_materials,input,n/a,[],
floatingse.member3.grid_axial_joints,input,,[],
floatingse.member3.bulkhead_grid,input,,"[0.0, 1.0]",
floatingse.member3.bulkhead_thickness,input,m,"[0.02, 0.02]",
floatingse.member3.ring_stiffener_web_height,input,m,0.0,
floatingse.member3.ring_stiffener_web_thickness,input,m,0.0,
floatingse.member3.ring_stiffener_flange_width,input,m,0.0,
floatingse.member3.ring_stiffener_flange_thickness,input,m,0.0,
floatingse.member3.ring_stiffener_spacing,input,,0.0,
floatingse.member3.axial_stiffener_web_height,input,m,0.0,
floatingse.member3.axial_stiffener_web_thickness,input,m,0.0,
floatingse.member3.axial_stiffener_flange_width,input,m,0.0,
floatingse.member3.axial_stiffener_flange_thickness,input,m,0.0,
floatingse.member3.axial_stiffener_spacing,input,rad,0.0,
floatingse.member3.ballast_grid,input,,[],
floatingse.member3.ballast_volume,input,m**3,[],
floatingse.member3:mass_user,input,kg,0.0,
floatingse.anchor_mass,input,kg,0.0,
floatingse.anchor_cost,input,USD,0.0,
floatingse.anchor_max_vertical_load,input,N,1e+30,
floatingse.anchor_max_lateral_load,input,N,1e+30,
floatingse.line_mass_density_coeff,input,kg/m**3,0.0,
floatingse.line_stiffness_coeff,input,N/m**2,0.0,
floatingse.line_breaking_load_coeff,input,N/m**2,0.0,
floatingse.line_cost_rate_coeff,input,USD/m**3,0.0,
floatingse.max_surge_fraction,input,,0.1,
floatingse.operational_heel,input,rad,0.17453292519943295,
tcc.main_bearing_mass,input,kg,0.0,
tcc.bearing_mass_cost_coeff,input,USD/kg,4.5,
tcc.bedplate_mass,input,kg,0.0,
tcc.bedplate_mass_cost_coeff,input,USD/kg,2.9,
tcc.blade_mass,input,kg,0.0,
tcc.blade_mass_cost_coeff,input,USD/kg,14.6,
tcc.blade_cost_external,input,USD,0.0,
tcc.brake_mass,input,kg,0.0,
tcc.brake_mass_cost_coeff,input,USD/kg,3.6254,
tcc.machine_rating,input,kW,5000.0,
tcc.controls_machine_rating_cost_coeff,input,USD/kW,21.15,
tcc.converter_mass,input,kg,0.0,
tcc.converter_mass_cost_coeff,input,USD/kg,18.8,
tcc.cover_mass,input,kg,0.0,
tcc.cover_mass_cost_coeff,input,USD/kg,5.7,
tcc.elec_connec_machine_rating_cost_coeff,input,USD/kW,41.85,
tcc.gearbox_mass,input,kg,0.0,
tcc.gearbox_torque_density,input,N*m/kg,200.0,"In 2024, modern 5-7MW gearboxes are able to reach 200 Nm/kg"
tcc.gearbox_torque_cost,input,USD/kN/m,50.0,"In 2024, modern 5-7MW gearboxes cost approx $50/kNm"
tcc.generator_mass,input,kg,0.0,
tcc.generator_mass_cost_coeff,input,USD/kg,12.4,
tcc.generator_cost_external,input,USD,0.0,
tcc.hss_mass,input,kg,0.0,
tcc.hss_mass_cost_coeff,input,USD/kg,6.8,
tcc.hub_mass,input,kg,0.0,
tcc.pitch_system_mass,input,kg,0.0,
tcc.spinner_mass,input,kg,0.0,
tcc.hub_assemblyCostMultiplier,input,,0.0,
tcc.hub_overheadCostMultiplier,input,,0.0,
tcc.hub_profitMultiplier,input,,0.0,
tcc.hub_transportMultiplier,input,,0.0,
tcc.hub_mass_cost_coeff,input,USD/kg,3.9,
tcc.hvac_mass,input,kg,0.0,
tcc.hvac_mass_cost_coeff,input,USD/kg,124.0,
tcc.lss_mass,input,kg,0.0,
tcc.lss_mass_cost_coeff,input,USD/kg,11.9,
tcc.yaw_mass,input,kg,0.0,
tcc.platforms_mass,input,kg,0.0,
tcc.transformer_mass,input,kg,0.0,
tcc.nacelle_assemblyCostMultiplier,input,,0.0,
tcc.nacelle_overheadCostMultiplier,input,,0.0,
tcc.nacelle_profitMultiplier,input,,0.0,
tcc.nacelle_transportMultiplier,input,,0.0,
tcc.main_bearing_number,input,n/a,2,
tcc.pitch_system_mass_cost_coeff,input,USD/kg,22.1,
tcc.platforms_mass_cost_coeff,input,USD/kg,17.1,
tcc.crane_cost,input,USD,12000.0,
tcc.crane,input,n/a,False,
tcc.blade_number,input,n/a,3,
tcc.spinner_mass_cost_coeff,input,USD/kg,11.1,
tcc.tower_assemblyCostMultiplier,input,,0.0,
tcc.tower_overheadCostMultiplier,input,,0.0,
tcc.tower_profitMultiplier,input,,0.0,
tcc.tower_transportMultiplier,input,,0.0,
tcc.tower_mass_cost_coeff,input,USD/kg,2.9,
tcc.transformer_mass_cost_coeff,input,USD/kg,18.8,
tcc.turbine_assemblyCostMultiplier,input,,0.0,
tcc.turbine_overheadCostMultiplier,input,,0.0,
tcc.turbine_profitMultiplier,input,,0.0,
tcc.turbine_transportMultiplier,input,,0.0,
tcc.yaw_mass_cost_coeff,input,USD/kg,8.3,
towerse.env.distLoads.waveLoads_Px,input,N/m,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
towerse.env.distLoads.waveLoads_Py,input,N/m,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
towerse.env.distLoads.waveLoads_Pz,input,N/m,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
towerse.env.distLoads.waveLoads_qdyn,input,N/m**2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
towerse.env.distLoads.waveLoads_z,input,m,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
towerse.env.distLoads.waveLoads_beta,input,deg,0.0,
towerse.yaw,input,deg,0.0,
towerse.env.Uref,input,m/s,11.73732,
towerse.z0,input,m,0.0,
towerse.shearExp,input,,0.11,
towerse.beta_wind,input,deg,0.0,
towerse.rho_air,input,kg/m**3,1.225,
towerse.mu_air,input,kg/m/s,1.81e-05,
towerse.cd_usr,input,,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]",
towerse.s_all,input,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
towerse.rna_mass,input,kg,285598.8,
towerse.rna_I,input,kg*m**2,"[114930678.0, 22035403.0, 18759742.5, 0.0, 503710.467, 0.0]",
towerse.rna_cg,input,m,"[-1.13197635, 0.0, 0.50875268]",
towerse.tower.rna_F,input,N,"[[1284744.19620519], [0.0], [-2914124.84400512]]",
towerse.tower.rna_M,input,N*m,"[[3963732.76208099], [-2275104.79420872], [-346781.68192839]]",
towerse.member.ca_usr_grid,input,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
towerse.member.cd_usr_grid,input,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
towerse.rho_water,input,kg/m**3,0.0,
towerse.member.s_ghost1,input,,0.0,
towerse.member.s_ghost2,input,,1.0,
towerse.member.s_const1,input,,0.0,
towerse.member.s_const2,input,,0.0,
towerse.tower_layer_thickness,input,m,"[[0.027, 0.0262, 0.0254, 0.0246, 0.0238, 0.023, 0.0222, 0.0214, 0.0206, 0.0198, 0.019000000000000003]]",
towerse.tower_outer_diameter_in,input,m,"[6.5, 6.24, 5.97, 5.71, 5.45, 5.18, 4.92, 4.66, 4.4, 4.13, 3.8699999999999997]",
towerse.E_mat,input,Pa,"[[3440000000.0, 3440000000.0, 3440000000.0], [41800000000.0, 14000000000.0, 2630000000.0], [27700000000.0, 13650000000.0, 7200000000.0], [13600000000.0, 13300000000.0, 11800000000.0], [200000000000.0, 200000000000.0, 200000000000.0], [205000000000.0, 205000000000.0, 205000000000.0], [118000000000.0, 118000000000.0, 118000000000.0], [98460000.0, 98460000.0, 98460000.0], [114500000000.0, 8390000000.0, 5990000000.0], [1000000.0, 1000000.0, 1000000.0], [1.0, 1.0, 1.0], [4560000.0, 4560000.0, 4560000.0]]",
towerse.E_user,input,Pa,0.0,
towerse.G_mat,input,Pa,"[[1323000000.0, 1323000000.0, 1323000000.0], [2630000000.0, 2630000000.0, 2630000000.0], [7200000000.0, 7200000000.0, 7200000000.0], [11800000000.0, 11800000000.0, 11800000000.0], [79300000000.0, 79300000000.0, 79300000000.0], [80000000000.0, 80000000000.0, 80000000000.0], [47600000000.0, 47600000000.0, 47600000000.0], [98460000.0, 98460000.0, 98460000.0], [5990000000.0, 5990000000.0, 5990000000.0], [384615.3846153846, 384615.3846153846, 384615.3846153846], [1.0, 1.0, 1.0], [1520000.0, 1520000.0, 1520000.0]]",
towerse.sigma_y_mat,input,Pa,"[0.0, 0.0, 0.0, 0.0, 345000000.0, 485000000.0, 265000000.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
towerse.sigma_ult_mat,input,Pa,"[[74000000.0, 74000000.0, 74000000.0], [1060000000.0, 66300000.0, 26600000.0], [54500000.0, 54500000.0, 26600000.0], [54470000.0, 54470000.0, 26600000.0], [450000000.0, 450000000.0, 450000000.0], [814000000.0, 814000000.0, 814000000.0], [310000000.0, 310000000.0, 310000000.0], [6040000.0, 6040000.0, 6040000.0], [2236000000.0, 0.0, 0.0], [61510000.0, 61510000.0, 61510000.0], [0.0, 0.0, 0.0], [690000.0, 690000.0, 690000.0]]",
towerse.wohler_exp_mat,input,,"[1.0, 10.0, 10.0, 10.0, 3.0, 3.0, 3.0, 1.0, 16.1, 1.0, 1.0, 1.0]",
towerse.wohler_A_mat,input,,"[87000000.0, 1060000000.0, 197000000.0, 197000000.0, 35534648443.719765, 35534648443.719765, 310000000.0, 6040000.0, 2236000000.0, 65360000.0, 0.0, 690000.0]",
towerse.rho_mat,input,kg/m**3,"[1235.0, 1920.0, 1850.0, 1780.0, 7800.0, 7850.0, 7200.0, 200.0, 1220.0, 1150.0, 5000.0, 1100.0]",
towerse.unit_cost_mat,input,USD/kg,"[7.23, 1.87, 2.86, 3.0, 0.7, 0.9, 0.5, 13.0, 30.0, 3.63, 1.0, 9.0]",
towerse.outfitting_factor_in,input,,1.083,
towerse.tower_layer_materials,input,n/a,steel,
towerse.member.ballast_materials,input,n/a,[],
towerse.material_names,input,n/a,"['Gelcoat', 'glassUD', 'glassTri', 'glassDB', 'steel', 'steel_drive', 'cast_iron', 'FOAM', 'CarbonUD', 'resin', 'slurry', 'adhesive']",
towerse.labor_cost_rate,input,USD/min,0.98,
towerse.painting_cost_rate,input,USD/m**2,30.0,
towerse.tower_mass_user,input,kg,0.0,
floating.member_spar:s,input,,"[0.0, 0.38462, 0.4, 0.8308, 0.8923, 1.0]",
floating.member_spar:grid_axial_joints,input,,0.38462,
floating.member_fairlead_leg1:s,input,,"[0.0, 1.0]",
floating.member_fairlead_leg1:grid_axial_joints,input,,[],
floating.member_fairlead_leg2:s,input,,"[0.0, 1.0]",
floating.member_fairlead_leg2:grid_axial_joints,input,,[],
floating.member_fairlead_leg3:s,input,,"[0.0, 1.0]",
floating.member_fairlead_leg3:grid_axial_joints,input,,[],
floating.memgrid0.s_in,input,,"[0.0, 0.8308, 0.8923, 1.0]",
floating.memgrid0.s_grid,input,,"[0.0, 0.38462, 0.4, 0.8308, 0.8923, 1.0]",
floating.memgrid0.outer_diameter_in,input,m,"[9.4, 9.4, 6.5, 6.5]",
floating.memgrid0.ca_usr_geom,input,,"[-1.0, -1.0, -1.0, -1.0]",
floating.memgrid0.cd_usr_geom,input,,"[-1.0, -1.0, -1.0, -1.0]",
floating.memgrid0.layer_thickness_in,input,m,"[[0.08, 0.08, 0.08, 0.08]]",
floating.memgrid1.s_in,input,,"[0.0, 1.0]",
floating.memgrid1.s_grid,input,,"[0.0, 1.0]",
floating.memgrid1.outer_diameter_in,input,m,"[1.0, 1.0]",
floating.memgrid1.ca_usr_geom,input,,"[-1.0, -1.0]",
floating.memgrid1.cd_usr_geom,input,,"[-1.0, -1.0]",
floating.memgrid1.layer_thickness_in,input,m,"[[0.1, 0.1]]",
floating.memgrid2.s_in,input,,"[0.0, 1.0]",
floating.memgrid2.s_grid,input,,"[0.0, 1.0]",
floating.memgrid2.outer_diameter_in,input,m,"[1.0, 1.0]",
floating.memgrid2.ca_usr_geom,input,,"[-1.0, -1.0]",
floating.memgrid2.cd_usr_geom,input,,"[-1.0, -1.0]",
floating.memgrid2.layer_thickness_in,input,m,"[[0.1, 0.1]]",
floating.memgrid3.s_in,input,,"[0.0, 1.0]",
floating.memgrid3.s_grid,input,,"[0.0, 1.0]",
floating.memgrid3.outer_diameter_in,input,m,"[1.0, 1.0]",
floating.memgrid3.ca_usr_geom,input,,"[-1.0, -1.0]",
floating.memgrid3.cd_usr_geom,input,,"[-1.0, -1.0]",
floating.memgrid3.layer_thickness_in,input,m,"[[0.1, 0.1]]",
floating.location_in,output,m,"[[0.0, 0.0, -40.0], [0.0, 0.0, -15.0], [5.2, 0.0, -70.0], [5.2, 2.0943951023931953, -70.0], [5.2, 4.1887902047863905, -70.0], [853.87, 0.0, -320.0], [853.87, 2.0943951023931953, -320.0], [853.87, 4.1887902047863905, -320.0]]",
floating.jointdv_0,output,m,-40.0,
floating.jointdv_1,output,m,-15.0,
high_level_tower_props.tower_ref_axis_user,input,m,"[[0.0, 0.0, 10.0], [0.0, 0.0, 17.76], [0.0, 0.0, 25.52], [0.0, 0.0, 33.28], [0.0, 0.0, 41.04], [0.0, 0.0, 48.8], [0.0, 0.0, 56.56], [0.0, 0.0, 64.32], [0.0, 0.0, 72.08], [0.0, 0.0, 79.84], [0.0, 0.0, 87.6]]","2D array of the coordinates (x,y,z) of the tower reference axis. The coordinate system is the global coordinate system of OpenFAST: it is placed at tower base with x pointing downwind, y pointing on the side and z pointing vertically upwards. A standard tower configuration will have zero x and y values and positive z values."
high_level_tower_props.distance_tt_hub,input,m,0.0,Vertical distance from tower top to hub center.
high_level_tower_props.hub_height_user,input,m,90.0,Height of the hub specified by the user.
high_level_tower_props.rotor_diameter,input,m,0.0,Diameter of the rotor used in WISDEM. It is defined as two times the blade length plus the hub diameter.
materials.rho_fiber,output,kg/m**3,"[0.0, 2600.0, 2600.0, 2600.0, 0.0, 0.0, 0.0, 0.0, 1800.0, 0.0, 0.0, 0.0]",1D array of the density of the fibers of the materials.
materials.rho,output,kg/m**3,"[1235.0, 1920.0, 1850.0, 1780.0, 7800.0, 7850.0, 7200.0, 200.0, 1220.0, 1150.0, 5000.0, 1100.0]","1D array of the density of the materials. For composites, this is the density of the laminate."
materials.rho_area_dry,output,kg/m**2,"[0.0, 1.858, 1.112, 1.112, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",1D array of the dry aerial density of the composite fabrics. Non-composite materials are kept at 0.
materials.ply_t_from_yaml,output,m,"[0.00051, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0025, 0.0, 0.0, 0.0, 0.0]",1D array of the ply thicknesses of the materials. Non-composite materials are kept at 0.
materials.fvf_from_yaml,output,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1D array of the non-dimensional fiber volume fraction of the composite materials. Non-composite materials are kept at 0.
materials.fwf_from_yaml,output,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1D array of the non-dimensional fiber weight- fraction of the composite materials. Non-composite materials are kept at 0.
materials.name,output,n/a,"['Gelcoat', 'glassUD', 'glassTri', 'glassDB', 'steel', 'steel_drive', 'cast_iron', 'FOAM', 'CarbonUD', 'resin', 'slurry', 'adhesive']",1D array of names of materials.
materials.component_id,output,n/a,"[0.0, 5.0, 2.0, 3.0, -1.0, -1.0, -1.0, 1.0, 4.0, -1.0, -1.0, -1.0]","1D array of flags to set whether a material is used in a blade: 0 - coating, 1 - sandwich filler , 2 - shell skin, 3 - shear webs, 4 - spar caps, 5 - TE/LE reinf."
mooring.nodes_location,output,m,"[[853.87, 0.0, -320.0], [-426.93499999999983, 739.4731115294187, -320.0], [-426.9350000000004, -739.4731115294185, -320.0], [5.2, 0.0, -70.0], [-2.5999999999999988, 4.503332099679081, -70.0], [-2.6000000000000023, -4.50333209967908, -70.0]]",
mooring.nodes_joint_name,output,n/a,"['anchor1', 'anchor2', 'anchor3', 'fairlead1', 'fairlead2', 'fairlead3']",
mooring.unstretched_length_in,output,m,902.2,
mooring.line_diameter_in,output,m,0.09,
mooring.line_mass_density_coeff,output,kg/m**3,"[0.0, 0.0, 0.0]",
mooring.line_stiffness_coeff,output,N/m**2,"[0.0, 0.0, 0.0]",
mooring.line_breaking_load_coeff,output,N/m**2,"[0.0, 0.0, 0.0]",
mooring.line_cost_rate_coeff,output,USD/m**3,"[0.0, 0.0, 0.0]",
mooring.line_transverse_added_mass_coeff,output,kg/m**3,"[123.4567901234568, 123.4567901234568, 123.4567901234568]",
mooring.line_tangential_added_mass_coeff,output,kg/m**3,"[0.0, 0.0, 0.0]",
mooring.line_transverse_drag_coeff,output,N/m**2,"[197.5308641975309, 197.5308641975309, 197.5308641975309]",
mooring.line_tangential_drag_coeff,output,N/m**2,"[12.34567901234568, 12.34567901234568, 12.34567901234568]",
floatingse.variable_ballast_mass,output,kg,-4490205.880401104,
floatingse.fairlead_radius,intermediate,m,5.2,
floatingse.fairlead,intermediate,m,70.0,
