variables,type,units,values,description
platform_cm,output,m,[0. 0. 0.],
platform_I,output,m,[ 86136.39335808  86136.39335808 172268.18581248],
cover_mass,output,kg,[3229.42060732],
cover_cm,output,m,[-0.34549427  0.          1.33338657],
cover_I,output,m,[ 50.87169718 110.31320934 103.98598707],
constr_height,output,m,[1.47933922],
L_drive,output,m,[6.93628008],
shaft_start,output,m,[0.         0.         1.47933922],
nacelle_mass,output,kg,[161029.8803804],
nacelle_cm,output,m,[-0.64463398 -0.13035663  1.16533696],
nacelle_I_TT,output,kg*m**2,"[6.07434434e+05 1.07986104e+06 1.03603939e+06 2.04817119e+01
 1.75929554e+05 1.97997640e+04]",
yaw.rho,intermediate,kg/m**3,[7800.],
bear1.mb_max_defl_ang,output,rad,[0.00872665],
bear1.mb_mass,output,kg,[48092.00178654],
bear1.mb_I,output,kg*m**2,[61763.00100246 32072.06011481 32072.06011481],
bear2.mb_max_defl_ang,output,rad,[0.078],
bear2.mb_mass,output,kg,[13479.28387693],
bear2.mb_I,output,kg*m**2,[17243.10356309  8932.60847221  8932.60847221],
mb1_deflection,output,m,[9.4914047e-05],
mb2_deflection,output,m,[4.98261278e-05],
stator_deflection,output,m,[0.00010196],
mb1_angle,output,rad,[4.26688963e-06],
mb2_angle,output,rad,[2.69843044e-05],
stator_angle,output,rad,[2.41481943e-05],
base_F,output,N,"[[ 1121375.14013563]
 [   -7098.00063365]
 [-1644898.06576901]]",
base_M,output,N*m,"[[6738690.00350868]
 [ 302182.50006235]
 [ 595608.31842488]]",
bedplate_axial_stress,output,Pa,"[[1.13378782e+05]
 [2.67149256e+06]
 [5.23262845e+05]
 [1.79297734e+06]
 [4.40986621e+06]
 [6.01884084e+06]
 [6.76605460e+06]
 [6.93033867e+06]
 [3.69794078e+06]
 [1.37162191e+03]
 [6.05447769e-01]
 [1.13383564e+05]
 [1.67484349e+06]
 [4.04291985e+05]
 [2.65241536e+06]
 [5.35184617e+06]
 [1.17717388e+07]
 [1.31977766e+07]
 [6.96348716e+06]
 [3.70899015e+06]
 [1.37148853e+03]
 [7.17724771e-01]]",
bedplate_shear_stress,output,Pa,"[[2.05249249e+05]
 [1.26341463e+06]
 [1.43837282e+06]
 [1.61530242e+06]
 [1.81041403e+06]
 [8.06152970e+06]
 [8.03733434e+06]
 [6.05353241e+06]
 [5.95066491e+06]
 [2.25695898e+04]
 [1.37815847e+00]
 [2.05257904e+05]
 [3.06766024e+06]
 [3.24327322e+06]
 [3.42020581e+06]
 [3.61493964e+06]
 [6.55561948e+06]
 [6.52934677e+06]
 [6.05353459e+06]
 [5.95066861e+06]
 [2.25724148e+04]
 [4.14437409e+00]]",
bedplate_bending_stress,output,Pa,"[[0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]]",
constr_bedplate_vonmises,output,,"[[1.89816775e-03]
 [1.75669646e-02]
 [1.29498299e-02]
 [1.69039905e-02]
 [2.75258958e-02]
 [7.73470406e-02]
 [7.87371029e-02]
 [6.39350419e-02]
 [5.57029879e-02]
 [1.98980029e-04]
 [1.25272740e-08]
 [1.89824780e-03]
 [2.83397442e-02]
 [2.86499611e-02]
 [3.30177300e-02]
 [4.19004748e-02]
 [8.31997010e-02]
 [8.84133553e-02]
 [6.40281936e-02]
 [5.57220254e-02]
 [1.99004880e-04]
 [3.66976014e-08]]",
constr_mb1_defl,output,,[0.00048895],
constr_mb2_defl,output,,[0.00034595],
constr_stator_deflection,output,,[1.78941947],
constr_stator_angle,output,,[0.04238008],
drivetrain_spring_constant,output,N*m/rad,[4.88131301e+09],
drivetrain_damping_coefficient,output,N*m*s/rad,[0.],
stage_ratios,output,,[4.57885697 4.57885697 4.57885697],
D_gearbox,output,m,[1.512],
generator_efficiency,output,,"[0.8922958  0.89315817 0.89395717 0.89469952 0.89539104 0.89603679
 0.89664115 0.89720799 0.8977407  0.89824227 0.89871534 0.89916229
 0.89958521 0.899986   0.90036635 0.90072778 0.90107167 0.90139927
 0.9017117  0.90201   ]",
hss_axial_stress,output,Pa,"[[2.53483018e+05]
 [2.90175854e-03]]",
hss_shear_stress,output,Pa,"[[3535891.0718699 ]
 [4009607.07158228]]",
hss_bending_stress,output,Pa,"[[0.]
 [0.]]",
constr_hss_vonmises,output,,"[[0.02218026]
 [0.02513031]]",
hub_system_cost,output,USD,[9355.50250657],
constr_hub_diameter,output,m,[0.05155369],
spinner.spinner_diameter,output,m,[6.95949286],
L_lss,output,m,[1.32225167],
constr_length,output,m,[2.44519569],
torq_deflection,output,m,[4.56685853e-05],
torq_angle,output,rad,[2.6896139e-10],
lss_axial_stress,output,Pa,"[[2.00808390e+03]
 [7.51770562e+06]
 [1.80243525e+07]
 [5.16425415e+07]]",
lss_shear_stress,output,Pa,"[[1.53907030e+07]
 [2.35019250e+07]
 [5.81023798e+07]
 [1.53752592e+08]]",
constr_lss_vonmises,output,,"[[0.0964616 ]
 [0.14978977]
 [0.36995273]
 [0.9816    ]]",
lss_axial_load2stress,output,m**2,[0.83820698 0.         0.         0.         2.92310757 2.92310757],
lss_shear_load2stress,output,m**2,[0.         1.2145508  1.2145508  1.46155379 0.         0.        ],
constr_shaft_deflection,output,,[0.80148367],
constr_shaft_angle,output,,[4.72027239e-07],
hub_E,output,Pa,[1.18e+11],
hub_G,output,Pa,[4.76e+10],
hub_rho,output,kg/m**3,[7200.],
hub_Xy,output,Pa,[2.65e+08],
hub_wohler_exp,output,,[10.],
hub_wohler_A,output,,[10.],
hub_mat_cost,output,USD/kg,[0.5],
spinner_rho,output,kg/m**3,[1940.],
spinner_Xt,output,Pa,[38100000.],
spinner_mat_cost,output,USD/kg,[1.9],
lss_Xt,output,Pa,[8.14e+08],
lss_wohler_exp,output,,[10.],
lss_wohler_A,output,,[10.],
lss_cost,output,USD/kg,[0.9],
hss_Xt,output,Pa,[8.14e+08],
hss_wohler_exp,output,,[10.],
hss_wohler_A,output,,[10.],
hss_cost,output,USD/kg,[0.9],
bedplate_mat_cost,output,USD/kg,[0.7],
cover_length,output,m,[7.60087399],
cover_height,output,m,[2.66677314],
cover_width,output,m,[2.079],
mean_bearing_mass,output,kg,[30785.64283173],
total_bedplate_mass,output,kg,[17874.68877395],
above_yaw_mass,output,kg,[154885.67674775],
above_yaw_cm,output,m,[-0.67020615 -0.13552778  1.21156504],
nacelle_I,output,kg*m**2,"[386017.85452378 794264.3689776  966386.59054192  13552.19472567
  54961.36358556  -4662.18759131]",
above_yaw_I,output,kg*m**2,"[377569.55566459 783367.23558802 963728.94094868  14068.50635715
  50345.74073515  -5595.54984466]",
above_yaw_I_TT,output,kg*m**2,"[6.07769572e+05 1.08029332e+06 1.03614482e+06 7.27595761e-12
 1.76112653e+05 1.98367898e+04]",
rotor_mass,output,kg,[65200.61231787],
rna_mass,output,kg,[226230.49269827],
rna_cm,output,m,[-3.12271814 -0.09278728  1.48889224],
rna_I_TT,output,kg*m**2,"[ 3.73780089e+07  2.46188810e+07  2.12759982e+07  2.04817119e+01
 -3.63612293e+05  1.97997640e+04]",
hss_rpm,output,rpm,"[ 662.4         688.67368421  714.94736842  741.22105263  767.49473684
  793.76842105  820.04210526  846.31578947  872.58947368  898.86315789
  925.13684211  951.41052632  977.68421053 1003.95789474 1030.23157895
 1056.50526316 1082.77894737 1109.05263158 1135.32631579 1161.6       ]",
